pixel_index channel old_value new_value difference
641 0 0 153 153
834 0 0 33 33
1050 0 255 18 237
1114 0 0 50 50
1124 0 0 21 21
1128 0 0 25 25
1164 0 0 31 31
1216 0 0 36 36
1294 0 255 24 231
1390 0 0 16 16
1408 0 0 37 37
1546 0 255 26 229
2394 0 0 59 59
2460 0 0 27 27
2850 0 0 15 15
2901 0 0 80 80
2905 0 0 68 68
2909 0 0 55 55
2913 0 0 57 57
2914 0 0 24 24
2917 0 0 98 98
2919 0 0 89 89
2921 0 0 77 77
2923 0 0 88 88
2925 0 0 92 92
2927 0 0 87 87
2929 0 0 78 78
2931 0 0 78 78
2933 0 0 79 79
2935 0 0 80 80
2937 0 0 77 77
2939 0 0 69 69
2941 0 0 74 74
2943 0 0 72 72
2945 0 0 71 71
2947 0 0 75 75
2949 0 0 66 66
2951 0 0 71 71
2953 0 0 69 69
2955 0 0 67 67
2957 0 0 67 67
2959 0 0 65 65
2961 0 0 98 98
2963 0 0 114 114
2965 0 0 92 92
2967 0 0 69 69
2969 0 0 57 57
2971 0 0 51 51
2973 0 0 52 52
2975 0 0 58 58
2977 0 0 62 62
2979 0 0 59 59
2981 0 0 57 57
2983 0 0 65 65
2985 0 0 62 62
2987 0 0 60 60
2989 0 0 56 56
2991 0 0 52 52
2993 0 0 60 60
2995 0 0 58 58
2997 0 0 52 52
2999 0 0 68 68
3001 0 0 68 68
3003 0 0 65 65
3005 0 0 62 62
3007 0 0 53 53
3009 0 0 84 84
3011 0 0 87 87
3013 0 0 88 88
3015 0 0 92 92
3017 0 0 62 62
3019 0 0 59 59
3021 0 0 58 58
3023 0 0 55 55
3025 0 0 61 61
3027 0 0 61 61
3029 0 0 88 88
3031 0 0 92 92
3033 0 0 64 64
3035 0 0 63 63
3037 0 0 56 56
3039 0 0 56 56
3041 0 0 85 85
3043 0 0 90 90
3045 0 0 64 64
3047 0 0 56 56
3049 0 0 54 54
3051 0 0 61 61
3053 0 0 59 59
3055 0 0 63 63
